short_name,topic_name,name
Nueva Constitución,Modernización del Estado,Nueva Constitución para Chile
Pensión Mínima,Pensiones,Pensión Mínima Igual o Mayor al Sueldo Mínimo
Agua,Economía,Desprivatización del Agua
Asamblea Constituyente,Modernización del Estado,Asamblea Constituyente
Progresividad de Impuestos,Política Tributaria,Aumentar progresividad de impuestos (más impuestos a Súper Ricos)
Seguro Universal,Salud,Seguro Universal de Salud
Sueldo Mínimo,Laboral,Aumentar el Sueldo Mínimo
Cárcel Colusión,Política Criminal,Cárcel efectiva para Delitos de Colusión
Cárcel Impuestos,Política Criminal,Cárcel efectiva para Delitos Tributarios (evasión de impuestos)
Cárcel Cohecho,Política Criminal,Cárcel Efectiva para Soborno y Cohecho
Límite Precio Medicamentos,Salud,Limitar Precio o Ganacia de Medicamentos
Salario Profesores,Educación,Aumento Salario Profesores
Derechos Humanos,Política Criminal,Investigación Judicial de Violaciones Recientes a los Derechos Humanos
Sename,Política social y ciudadanía,Reforma Sename
Litio Estatal,Economía,Estatización del Litio
Programas Intervención,Política Social y Ciudadanía,Programas de Intervención para Niños y Jóvenes de Alto Riesgo
Ciencia y Tecnología,Educación,Aumentar Inversión en Ciencia y Tecnología a 1% del PIB
Contribuciones,Política Tributaria,Reducción Contribuciones de Adultos Mayores Vulnerables
CAE,Educación,Condonación de las deudas del Crédito con Aval del Estado (CAE)
Transporte Tercera Edad,Vivienda y Transporte,Transporte Público Gratuito para Ciudadanos de la Tercera Edad
40 Horas,Laboral,Reducción de Jornada Laboral a 40 horas
IVA medicamentos,Política Tributaria,Reducción IVA a los Medicamentos
Participación Directa,Democracia,Aumentar Instancias de Participación Ciudadana Directa
Plebiscitos Nacionales,Democracia,Habilitar plebiscitos nacionales.
Enfermedades Catastróficas,Salud,Creación del Seguro de Enfermedades Catastróficas
Ley de Pesca,Economía,Derogación Ley de Pesca
Adulto Mayor,Salud,Red de Cuidado Adulto Mayor
Dieta Parlamentaria,Modernización del Estado,Reducción Dieta Parlamentaria
Sueldo Altos Funcionarios,Modernización del Estado,Reducción sueldos altos funcionarios públicos
Pueblos Originarios,Modernización del Estado,Reivindicación y Apoyo de Pueblos Originarios
Zonas de Sacrificio,Medio Ambiente,Regulación y Fiscalización de Empresas en Zonas de Sacrificio
Pilar Solidario,Pensiones,Mejorar Aporte del Estado a Pensiones de los Más Necesitados
Aporte Empleador a AFP,Pensiones,Aporte del Empleador a Fondo de Pensiones
Glaciares,Medio Ambiente,Inviolabilidad de Glaciares
Autonomía Regional,Modernización del Estado,Entregar más autonomía a las regiones en su gobernanza.
Fondo Común Municipal,Modernización del Estado,Fortalecimiento del Fondo Común Municipal
Elección Parlamentarios,Democracia,Limitar la Reeleción de Parlamentarios y Parlamentarias
Retiro AFP,Pensiones,Retiro Anticipado Fondo de Pensiones
Estructura Productiva,Economía,Diversificar la Economía
Aumento de Médicos,Salud,Aumento de Cupos en Especialidades Médicas
Toque de Queda,Seguridad,Fin de Toque de Queda
Farmacias,Salud,Creación de Farmacias Populares
Educación Técnico Profesional,Educación,Mejorar Educación Técnico Profesional
Reelección de Alcaldes,Democracia,"Limitar Reelección de Alcaldes, Parlamentarios y Presidentes"
Cambio de Gabinete,Modernización del Estado,Cambio de Gabinete
Subsidio Vivienda,Vivienda y Transporte,Subsidio Vivienda
Retiro FFAA,Seguridad,Retiro de Fuerzas Armadas
Sistema Salud para Electos,Modernización del Estado,Uso Obligatorio de Sistema de Salud Público para Funcionarios Electos
Sala Cuna,Educación,Acceso Universal a Sala Cuna
Fuerzas Armadas,Modernización del Estado,Reforma Fuerzas Armadas
Franquicias tributarias,Política Tributaria,Eliminación de franquicias tributarias a las ganacias de capital para acciones
Narcotráfico,Política Criminal,Lucha contra el Narcotráfico
Sistema Electoral,Democracia,Eliminación de elección de parlamentarios por arrastre
Libre de Carbono,Medio Ambiente,Chile Libre de Carbono al 2040
Termoeléctricas,Medio Ambiente,Adelantar Cierre Termoeléctricas
Espacios Públicos,Política Social y Ciudadanía,Creación de Más y Mejores Espacios Públicos
Camara Única,Reforma Congreso,Reducción del Parlamento a una Camara Única
IVA libros,Política Tributaria,Reducción IVA a los libros
Impuesto al Carbono,Medio Ambiente,Aumento de Impuesto al Carbono
Voto Obligatorio,Democracia,Voto Obligatorio
Ficha Médica Digital,Salud,Establecer Ficha Médica Digital Universal
Cuoteo Diplomático,Modernización del Estado,Eliminar Cuoteo Político en Posiciones Diplomáticas
Protección Consumidor,Economía,Aumentar la Protección del Consumidor
Barrios Integrados,Vivienda y Transporte,Integración de Viviendas Sociales en Barrios Altos
Fonasa Farmacia,Salud,Ampliación Convenio Fonasa con Farmacias
Matrimonio Igualitario,Política Social y Ciudadanía,Matrimonio Igualitario
Subsidio Agua,Economía,Subsidio al precio del agua
Viviendas Integradas,Vivienda y Transporte,Integracion de Viviendas Sociales en Edificios Particulares
Notarios,Modernización del Estado,Reforma o fin de sistema de Notarios
Transbank,Economía,Fin al Monopolio de Transbank
Subsidio Luz,Economía,Subsidio al precio de la electricidad
Reducción Parlamento,Reforma Congreso,Reducción Número de Parlamentarios
Armas de Fuego,Política Criminal,Restricción Venta y Uso de Armas de Fuego
Información Personal,Política Social y Ciudadanía,Resguardar y Proteger Información Personal
Bilingüe,Educación,Promover Educación Bilingüe (Inglés)
Bicicletas,Vivienda y Transporte,Inversión infrastructura cicloviaria
Más Metro,Vivienda y Transporte,Crear Nuevas Líneas de Metro
Custodia Compartida,Modernización del Estado,Custodia compartida de hijos de padres separados
Impuestos a vicios,Política Tributaria,"Aumentar Impuesto al Alcohol, Tabaco, y Comida Chatarra"
Bibliotecas,Educación,Modernización Bibliotecas
Edad Máxima,Modernización del Estado,Edad Máxima para candidaturas a Cargos Políticos
Vías Exclusivas,Vivienda y Transporte,Más Vías Exclusivas para Buses
Terrenos Fronterizos,Modernización del Estado,Prohibición Compra de Terrenos Fronterizos a Extranjeros
Periodo Presidencial,Modernización del Estado,Extender Periodo Presidencial a 6 años
Marihuana,Salud,Legalización de la Marihuana
Educación RRSS,Educación,Educación sobre uso de Redes Sociales
Autopistas,Vivienda y Transporte,Más Autopistas Urbanas
Venta de Alcohol,Salud,"Restringir Venta de Alcohol en Delivery, Supermercados, o por Horario"
Edad de Jubilación,Pensiones,Aumento Edad de Jubilación
Provincias,Modernización del Estado,Reducir Número de Provincias
