id	nombre_corto	nombre_largo	topico
1	Farmacias	Creación de Farmacias Populares	Salud
2	Marihuana	Legalización de la Marihuana	Salud
3	Cárcel Cohecho	Cárcel Efectiva para Soborno y Cohecho	Justicia
4	Retiro AFP	Retiro Anticipado Fondo de Pensiones	Pensiones
5	Más Metro	Crear Nuevas Líneas de Metro	Ciudad
6	Agua	Desprivatización del Agua	Medio Ambiente
7	SENAME	Reforma Sename	Familia
8	Narcotráfico	Lucha contra el Narcotráfico	Seguridad
9	Termoeléctricas	Adelantar Cierre Termoeléctricas	Medio Ambiente
10	Voto Obligatorio	Voto Obligatorio	Gobierno
11	Educacion RRSS	Educación sobre uso de Redes Sociales	Cívica
12	Zonas de Sacrificio	Regulación y Fiscalización de Empresas en Zonas de Sacrificio	Medio Ambiente
13	Impuesto al Carbono	Aumento de Impuesto al Carbono	Medio Ambiente
14	Subsidio Luz	Subsidio al precio de la electricidad	Economía
15	Subsidio Agua	Subsidio al precio del agua	Economía
16	Bibliotecas	Modernización Bibliotecas	Educación
17	Salario Profesores	Aumento Salario Profesores	Educación
18	IVA medicamentos	Reducción IVA a los Medicamentos	Salud
19	IVA libros	Reducción IVA a los libros	Educación
20	Notarios	Reforma o fin de sistema de Notarios	Justicia
21	Dieta Parlamentaria	Reducción Dieta Parlamentaria	Gobierno
22	Terrenos Fronterizos	Prohibición Compra de Terrenos Fronterizos a Extranjeros	Soberanía
23	Nueva Constitución	Nueva Constitución para Chile	Gobierno
24	Subsidio Vivienda	Subsidio Vivienda	Ciudad
25	Ciencia y Tecnología	Aumentar Inversión en Ciencia y Tecnología a 1% del PIB	Educación
26	Camara Única	Reducción del Parlamento a una Camara Única	Gobierno
27	Armas de Fuego	Restricción Venta y Uso de Armas de Fuego	Seguridad
28	Protección Consumidor	Aumentar la Protección del Consumidor	Economía
29	Matrimonio Igualitario	Matrimonio Igualitario	Familia
30	Programas Intervencion	Programas de Intervención para Niños y Jóvenes de Alto Riesgo	Familia
31	Fuerzas Armadas	Reforma Fuerzas Armadas	Gobierno
32	Carcel Colusión	Cárcel efectiva para delitos de Colusión	Justicia
33	Carcel Impuestos	Cárcel efectiva para delitos tributarios (evasión de impuestos)	Justicia
34	Reducción Parlamento	Reducción Número de Parlamentarios	Gobierno
35	Impuestos a vicios	Aumentar Impuesto al Alcohol, Tabaco, y Comida Chatarra	Salud
36	Información Personal	Resguardar y Proteger Información Personal	Seguridad
37	Asamblea Constituyente	Asamblea Constituyente	Gobierno
38	Custodia Compartida	Custodia compartida de hijos de padres separados	Familia
39	Adulto Mayor	Red de Cuidado Adulto Mayor	Familia
40	Pueblos Originarios	Reivindicación y Apoyo de Pueblos Originarios	Gobierno
41	Litio Estatal	Estatización del Litio	Economía
42	Aporte Empleador a AFP	Aporte del Empleador a Fondo de Pensiones	Pensiones
43	Glaciares	Inviolabilidad de Glaciares	Medio Ambiente
44	Bicicletas	Inversión infrastructura cicloviaria	Ciudad
45	Contribuciones	Reducción Contribuciones de Adultos Mayores Vulnerables	Pensiones
46	Transporte Tercera Edad	Transporte Público Gratuito para Ciudadanos de la Tercera Edad	Ciudad
47	Bilingue	Promover Educación Bilingue (Inglés)	Educación
48	Ficha Médica Digital	Establecer Ficha Médica Digital Universal	Salud
49	Venta de Alcohol	Restringir Venta de Alcohol en Delivery, Supermercados, o por Horario	Salud
50	Cuoteo Diplomático	Eliminar Cuoteo Político en Posiciones Diplomáticas	Gobierno
51	Reelección de Alcaldes	Limitar Reelección de Alcaldes, Parlamentarios, y Presidentes	Gobierno
52	Edad de Jubilación	Aumento Edad de Jubilación	Pensiones
53	Sistema Salud para Electos	Uso Obligatorio de Sistema de Salud Público para Funcionarios Electos	Gobierno
54	Transbank	Fin al Monopolio de Transbank	Economía
55	Pensión Mínima	Pensión Mínima Igual o Mayor al Sueldo Mínimo	Pensiones
56	Seguro Universal	Seguro Universal de Salud	Salud
57	Derechos Humanos	Investigación Judicial de Violaciones Recientes a los Derechos Humanos	Justicia
58	Retiro FFAA	Retiro de Fuerzas Armadas	Seguridad
59	Toque de Queda	Fin de Toque de Queda	Seguridad
60	Educación Técnico Profesional	Mejorar Educación Técnico Profesional	Educación
61	Estructura Productiva	Diversificar la Economía	Economía
62	Aumento de Médicos	Aumento de Cupos en Especialidades Médicas	Salud
63	Sala Cuna	Acceso Universal a Sala Cuna	Familia
64	Enfermedades Catastróficas	Creación del Seguro de Enfermedades Catastróficas	Salud
65	Fonasa Farmacia	Ampliación Convenio Fonasa con Farmacias	Salud
66	Elección Parlamentarios	Limitar la Reeleción de Parlamentarios y Parlamentarias	Gobierno
67	Participación Directa	Aumentar Instancias de Participación Ciudadana Directa	Gobierno
68	Fondo Común Municipal	Fortalecimiento del Fondo Común Municipal	Gobierno
69	Espacios Públicos	Creación de Más y Mejores Espacios Públicos	Familia
70	Pilar Solidario	Mejorar Aporte del Estado a Pensiones de los Más Necesitados	Pensiones
71	Periodo Presidencial	Extender Periodo Presidencial a 6 años	Gobierno
72	Provincias	Reducir Número de Provincias	Gobierno
73	Ley de Pesca	Derogación Ley de Pesca	Economía
74	40 Horas	Reducción de Jornada Laboral a 40 horas	Economía
75	Cambio de Gabinete	Cambio de Gabinete	Gobierno
76	Sueldo Altos Funcionarios	Reducción sueldos altos funcionarios públicos	Gobierno
77	Franquicias tributarias	Eliminación de franquicias tributarias a las ganacias de capital para acciones	Economía
78	Sistema Electorial	Eliminación de elección de parlamentarios por arrastre	Gobierno
79	Vías Exclusivas	Más Vías Exclusivas para Buses	Transporte
80	Autopistas	Más Autopistas Urbanas	Transporte
81	Viviendas Integradas	Integracion de Viviendas Sociales en Edificios Particulares	Ciudad
82	Barrios Integrados	Integración de Viviendas Sociales en Barrios Altos	Ciudad
83	Edad Máxima	Edad Máxima para candidaturas a Cargos Políticos	Gobierno
84	Libre de Carbono	Chile Libre de Carbono al 2040	Medio Ambiente
85	Progresividad de Impuestos	Aumentar progresividad de impuestos (más impuestos a Super Ricos)	Economía
86	CAE	Condonación de las deudas del Crédito con Aval del Estado (CAE)	Educación
87	Sueldo Mínimo	Aumentar el Sueldo Mínimo	Economía
88	Plebiscitos Nacionales	Habilitar plebiscitos nacionales.	Gobierno
89	Autonomía Regional	Entregar más autonomía a las regiones en su gobernanza.	Gobierno
90	Límite Precio Medicamentos	Limitar Precio o Ganacia de Medicamentos	Salud
91	Autodeterminación Pueblos Originarios	Autodeterminacion Pueblos Originarios	Gobierno
92	Canasta básica sin IVA	Canasta básica de alimentos sin IVA	Economía
93	Retiro Parcial AFP	Retiro de partes de los fondos de AFP a media vida laboral.	Pensiones
94	Transparencia fondos Corfo	"Transparencia y ""accountability"" para la asignación de fondos de Corfo."	Economía
95	Micro parques comunales	Micro parques comunales. Más áreas verdes para todos.	Ciudad
96	AFP como banco popular	Que AFP presten dinero con interés mínimo	Pensiones
97	Evitar aprobación de proyecto de ley del TPP-11	Evitar aprobación del tratado TPP-11	Economía
98	Acuerdo de Escazú	Ratificar participación de Chile en Acuerdo de Escazú sobre medioambiente	Medio Ambiente
99	Regresar el Congreso a Santiago	Regresar el Congreso a Santiago	Gobierno
100	Pago progresivo de contribuciones	Pago progresivo de contribuciones a individuos con más de una propiedad	Ciudad
101	Estandarización de sueldos	Estandarización de sueldos profesionales según antiguedad y estudios.	Economía
102	Eliminar Pre-Existencia	Eliminar obstaculos y castigos con las enfermedades pre-existentes en Isapre y Fonasa	Salud
103	Aborto libre	Legalizar el aborto	Familia
104	Fin sueldo vitalicio	Que se termine el sueldo vitalicio a los ex presidentes de la República	Gobierno
105	Sistema Parlamentario	Cambio a un sistema parlamentario o semipresidencial	Gobierno
106	CAE sin intereses	CAE sin intereses	Educación
107	Peajes y TAG	Disminuir Precio de Peajes y TAG	Ciudad
108	Bajar años AFP	Reducir el calculo de jubilacion en las AFP que ahora es de 110 años	Pensiones
109	Educación Inclusiva	Educación Inclusiva para personas con discapacidad	Familia
110	Derechos Discapacidad	Fiscalizar Derechos de Personas con Discapacidad	Familia
111	Estado en Empresas Sociales	Participación del estado (49%) en empresas de agua, educación, salud, energía, territorio..etc	Economía
112	IVA diferenciado	IVA diferenciado para productos básicos, transporte, medicinas, alimentos, libros.	Familia
113	Herencia AFP	Ahorro heredable en sistema de pensiones	Pensiones
114	Modernización ferrocarriles	Inversión del Estado en un Sistema de Ferrocarriles moderno con cobertura regional y urbana.	Ciudad
115	Chile Federal	Chile como país federal, con territorios autogobernados.	Gobierno
116	Sueldo Políticos y Mínimo	Fijar el sueldo de los políticos como una proporción del sueldo mínimo	Gobierno
117	Exámenes de drogas	Exámenes periódicos de drogas a miembros del poder ejecutivo, legislativo y judicial	Gobierno
118	Sueldo Mínimo Europeo	Equiparar gradualmente salario mínimo a paises europeos con PIB similar al nuestro	Economía
119	Retiro enfermo terminales	Poder realizar retiro parcial o total de fondos de AFP para enfermos terminales	Pensiones
120	Pase mensual	Pase mensual de transporte con precio fijo y número de viajes ilimitado	Ciudad
121	Igualar plan de salud	Igualar plan de salud de isapre entre hombres y mujeres	Salud
122	Correos de Chile	Reestructuración completa del sistema de Correos de Chile	Gobierno
123	Aumento del Post Natal	Post Natal de 1 año	Familia
124	Diferencia sueldo	Tope porcentual a diferencia salarial dentro de empresas	Economía
125	Sueldo mínimo diferenciado	Establecer sueldos mínimos diferenciados según empresas o Industrias	Economía
126	Combustibles	Eliminar impuesto combustible	Ciudad
127	Incluir deudas en vulnerabilidad	Incluir deudas (e.g. hipotecas, cae) en el análisis y registro de hogares vulnerables.	Economía
128	Rebaja del IVA, aumento impuesto a la Renta	Rebaja del IVA a un 10%, compensado con un aumento al impuesto a las rentas	Economía
129	Reinvertir en Isapres	Reinvertir utilidad generada por las Isapres en el sistema para mejorar acceso a salud de las personas	Salud
130	Deudas universitarias	Condonación de Fondo solidario	Educación
131	Deuda docentes	Pagar la deuda histórica de docentes	Educación
132	Operadores Políticos	Eliminar cargos de operadores políticos en el gobierno	Gobierno
133	Contratación del Estado	Modificación de los contratos en el Estado (no más honorarios)	Gobierno
134	Elección de Ministros	Elección de ministros y subsecretarios	Gobierno
135	ANI y sistema de inteligencia	Reestructurar ANI y sistema de inteligencia	Gobierno
136	Inmigración	Regular o restringir inmigración	Gobierno
137	Reelección cargos populares	Reelección cargo popular solo por periodos definidos	Gobierno
138	Requisitos parlamentarios	Aumento requisitos parlamentarios incluyendo nivel de educación y experiencia laboral	Gobierno
139	Cohecho y Soborno	Agravamiento de penas por delito de cohecho o soborno	Justicia
140	Trabajo de los presos	Penas productivas para reos con capacidad de trabajo	Justicia
141	Pensiones y FFAA	Eliminación de sistema previsional diferenciado en FFAA	Pensiones
142	AFP del Estado	Creación de AFP estatal	Pensiones
143	Salud mental	Creación de un plan nacional de salud mental	Salud
144	Asunción de pérdidas por AFP	AFPs deben asumir las pérdidas derivadas de su administración de fondos.	Pensiones
145	No más AFP	Eliminar el sistema de AFP	Pensiones
146	Vuelta al sistema original AFP 1980	Volver al sistema original de AFP como fue dictado en 1980	Pensiones
147	Pensión por discapacidad	Equiparar pensión por discapacidad al sueldo mínimo	Pensiones
148	PYMES	Subsidio o redución de impuestos para PYMES	Economía
149	Bomberos	Sueldo a bomberos	Economía
150	Igualdad de sueldos	Igualdad de sueldos para misma función	Economía
151	Ciencia y Tecnología	Regularizar condiciones laborales de trabajadores de ciencia y tecnología	Economía
152	Eliminación impuesto específico a combustibles	Eliminación impuesto específico a combustibles	Ciudad
153	Ley de autismo	Creación Ley de Autismo	Familia
154	Cárcel	Cárcel efectiva para los encapuchados	Seguridad
155	Educación gratuita	Educación gratuita para todos los niveles educacionales	Educación
156	Educación cívica	Educación cívica en Educación Media	Educación
157	Educación Financiera	Educación financiera en Educación Media	Educación
158	Parlamentarios	Reducción de sueldos y eliminación de asignaciones parlamentarias	Gobierno
159	Tren	Trenes interregionales e interurbanos	Ciudad
160	Política vivienda	Regulación de precios de viviendas	Ciudad
161	DICOM	Eliminar DICOM	Economía
162	Sistema de reparto y pensiones	Volver al sistema de reparto de pensiones	Pensiones
